Rank,Squad,Apps,W,D,L,GF,GA,GDiff,Points,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Manchester City,38,32,2,4,95,23,+72,98,54130,Sergio Agüero - 21,Ederson,
2,Liverpool,38,30,7,1,89,22,+67,97,52983,Sadio Mané Mohamed Salah - 22,Alisson,
3,Chelsea,38,21,9,8,63,39,+24,72,40437,Eden Hazard - 16,Kepa Arrizabalaga,
4,Tottenham Hotspur,38,23,2,13,67,39,+28,71,54216,Harry Kane - 17,Hugo Lloris,
5,Arsenal,38,21,7,10,73,51,+22,70,59899,Pierre-Emerick Aubameyang - 22,Bernd Leno,
6,Manchester United,38,19,9,10,65,54,+11,66,74498,Paul Pogba - 13,David de Gea,
7,Wolverhampton Wanderers,38,16,9,13,47,46,+1,57,31030,Raúl Jiménez - 13,Rui Patrício,
8,Everton,38,15,9,14,54,46,+8,54,39043,Richarlison Gylfi Sigurðsson - 13,Jordan Pickford,
9,Leicester City,38,15,7,16,51,48,+3,52,31851,Jamie Vardy - 18,Kasper Schmeichel,
10,West Ham United,38,15,7,16,52,55,-3,52,58336,Marko Arnautović - 10,Łukasz Fabiański,
11,Watford,38,14,8,16,52,59,-7,50,20016,Gerard Deulofeu - 10,Ben Foster,
12,Crystal Palace,38,14,7,17,51,53,-2,49,25455,Luka Milivojević - 12,Vicente Guaita,
13,Newcastle United,38,12,9,17,42,48,-6,45,51121,Ayoze Pérez - 12,Martin Dúbravka,
14,Bournemouth,38,13,6,19,56,70,-14,45,10532,Callum Wilson - 14,Asmir Begović,
15,Burnley,38,11,7,20,45,68,-23,40,20534,Ashley Barnes - 12,Tom Heaton Joe Hart,
16,Southampton,38,9,12,17,45,65,-20,39,30139,Danny Ings James Ward-Prowse - 7,Alex McCarthy,
17,Brighton & Hove Albion,38,9,9,20,35,60,-25,36,30426,Glenn Murray - 13,Mathew Ryan,
18,Cardiff City,38,10,4,24,34,69,-35,34,31408,Víctor Camarasa Bobby Reid - 5,Neil Etheridge,
19,Fulham,38,7,5,26,34,81,-47,26,24371,Aleksandar Mitrović - 11,Sergio Rico,
20,Huddersfield Town,38,3,7,28,22,76,-54,16,23203,Karlan Ahearne-Grant Aaron Mooy... - 3,Jonas Lössl,
